"subject_id" "trial_number" "trial_id" "target_sentence" "target_side" "other_side" "trial_type" "date_stamp" "time_stamp" "side_chosen" "accuracy" "rt" "play_counter" "order" "sentence_type" "animacy" "version"
"1Y4e0MFuRxXrHrR9KWyzwUspQ" 1 "6pop" "Piglet_will_show_the_plate_to_the_fish" "left" "right" "training" "1/20/2022" "16:27" "left" 1 7310.1857 1 "Pre" "PO" "Pred" "New-bis"
"1Y4e0MFuRxXrHrR9KWyzwUspQ" 2 "3pop" "Rebecca_Rabbit_will_bring_the_pencil_to_the_chicken" "left" "right" "training" "1/20/2022" "16:27" "left" 1 4668.1857 1 "Pre" "PO" "Pred" "New-bis"
"1Y4e0MFuRxXrHrR9KWyzwUspQ" 3 "1pop" "The_boy_will_throw_the_cheese_to_the_bear" "right" "left" "training" "1/20/2022" "16:27" "right" 1 6067.1857 1 "Pre" "PO" "Pred" "New-bis"
"1Y4e0MFuRxXrHrR9KWyzwUspQ" 4 "8pop" "Chase_will_give_the_biscuit_to_the_kitten" "left" "right" "training" "1/20/2022" "16:27" "left" 1 4503.1857 1 "Pre" "PO" "Pred" "New-bis"
"1Y4e0MFuRxXrHrR9KWyzwUspQ" 5 "5pop" "The_girl_will_pass_the_dress_to_the_sheep" "right" "left" "training" "1/20/2022" "16:27" "right" 1 4813.1857 1 "Pre" "PO" "Pred" "New-bis"
"1Y4e0MFuRxXrHrR9KWyzwUspQ" 6 "2pop" "Tigger_will_give_the_bottle_to_the_zebra" "right" "left" "training" "1/20/2022" "16:27" "right" 1 3963.1857 1 "Pre" "PO" "Pred" "New-bis"
"1Y4e0MFuRxXrHrR9KWyzwUspQ" 7 "4pop" "George_will_send_the_brush_to_the_donkey" "left" "right" "training" "1/20/2022" "16:27" "left" 1 3982.1857 1 "Pre" "PO" "Pred" "New-bis"
"1Y4e0MFuRxXrHrR9KWyzwUspQ" 8 "9pop" "Dora_the_explorer_will_bring_the_spoon_to_the_hippo" "right" "left" "training" "1/20/2022" "16:27" "right" 1 5866.1857 1 "Pre" "PO" "Pred" "New-bis"
"1Y4e0MFuRxXrHrR9KWyzwUspQ" 9 "11pop" "Marshall_will_pass_the_gloves_to_the_bee" "right" "left" "training" "1/20/2022" "16:27" "right" 1 2414.1857 1 "Pre" "PO" "Pred" "New-bis"
"1Y4e0MFuRxXrHrR9KWyzwUspQ" 10 "10pop" "Boots_will_send_the_flower_to_the_caterpillar" "right" "left" "training" "1/20/2022" "16:27" "right" 1 2918.1857 1 "Pre" "PO" "Pred" "New-bis"
"1Y4e0MFuRxXrHrR9KWyzwUspQ" 11 "12pop" "Winnie_the_pooh_will_show_the_frisbee_to_the_duck" "left" "right" "training" "1/20/2022" "16:27" "left" 1 3895.1857 1 "Pre" "PO" "Pred" "New-bis"
"1Y4e0MFuRxXrHrR9KWyzwUspQ" 12 "7pop" "Bob_the_builder_will_throw_the_shoe_to_the_penguin" "left" "right" "training" "1/20/2022" "16:27" "left" 1 4305.1857 1 "Pre" "PO" "Pred" "New-bis"
"9tgX9dSGT5G8o6baudKTMGquB" 1 "8doup" "Chase_will_give_the_kitten_the_deer" "right" "left" "training" "3/16/2022" "12:57" "right" 1 7925.29 1 "Post" "DO" "NonPred" "New-bis"
"9tgX9dSGT5G8o6baudKTMGquB" 2 "3doup" "Rebecca_Rabbit_will_bring_the_chicken_the_frog" "right" "left" "training" "3/16/2022" "12:57" "right" 1 24374.29 1 "Post" "DO" "NonPred" "New-bis"
"9tgX9dSGT5G8o6baudKTMGquB" 3 "2doup" "Tigger_will_give_the_zebra_the_butterfly" "left" "right" "training" "3/16/2022" "12:57" "left" 1 4822.29 1 "Post" "DO" "NonPred" "New-bis"
"9tgX9dSGT5G8o6baudKTMGquB" 4 "6doup" "Piglet_will_show_the_fish_the_ant" "left" "right" "training" "3/16/2022" "12:57" "left" 1 2439.29 1 "Post" "DO" "NonPred" "New-bis"
"9tgX9dSGT5G8o6baudKTMGquB" 5 "1doup" "The_boy_will_throw_the_bear_the_dinosaur" "left" "right" "training" "3/16/2022" "12:57" "left" 1 5142.29 1 "Post" "DO" "NonPred" "New-bis"
"9tgX9dSGT5G8o6baudKTMGquB" 6 "7doup" "Bob_the_builder_will_throw_the_penguin_the_dog" "right" "left" "training" "3/16/2022" "12:57" "right" 1 4456.29 1 "Post" "DO" "NonPred" "New-bis"
"9tgX9dSGT5G8o6baudKTMGquB" 7 "10doup" "Boots_will_send_the_caterpillar_the_pig" "left" "right" "training" "3/16/2022" "12:57" "left" 1 2655.29 1 "Post" "DO" "NonPred" "New-bis"
"9tgX9dSGT5G8o6baudKTMGquB" 8 "9doup" "Dora_the_explorer_will_bring_the_hippo_the_cow" "right" "left" "training" "3/16/2022" "12:57" "right" 1 4568.29 1 "Post" "DO" "NonPred" "New-bis"
"9tgX9dSGT5G8o6baudKTMGquB" 9 "11doup" "Marshall_will_pass_the_bee_the_goat" "right" "left" "training" "3/16/2022" "12:57" "right" 1 2223.29 1 "Post" "DO" "NonPred" "New-bis"
"9tgX9dSGT5G8o6baudKTMGquB" 10 "5doup" "The_girl_will_pass_the_sheep_the_bird" "right" "left" "training" "3/16/2022" "12:57" "right" 1 4457.29 1 "Post" "DO" "NonPred" "New-bis"
"9tgX9dSGT5G8o6baudKTMGquB" 11 "4doup" "George_will_send_the_donkey_the_fox" "left" "right" "training" "3/16/2022" "12:57" "left" 1 3540.29 1 "Post" "DO" "NonPred" "New-bis"
"9tgX9dSGT5G8o6baudKTMGquB" 12 "12doup" "Winnie_the_pooh_will_show_the_duck_the_owl" "left" "right" "training" "3/16/2022" "12:57" "left" 1 4624.29 1 "Post" "DO" "NonPred" "New-bis"
"9wZUphPqxE4pSTMvu4dpMrJuT" 1 "12doup" "Winnie_the_pooh_will_show_the_duck_the_owl" "left" "right" "training" "1/20/2022" "16:08" "left" 1 15379.012 1 "Post" "DO" "NonPred" "New-bis"
"9wZUphPqxE4pSTMvu4dpMrJuT" 2 "8doup" "Chase_will_give_the_kitten_the_deer" "left" "right" "training" "1/20/2022" "16:08" "left" 1 6344.012 1 "Post" "DO" "NonPred" "New-bis"
"9wZUphPqxE4pSTMvu4dpMrJuT" 3 "10doup" "Boots_will_send_the_caterpillar_the_pig" "right" "left" "training" "1/20/2022" "16:08" "right" 1 5714.012 1 "Post" "DO" "NonPred" "New-bis"
"9wZUphPqxE4pSTMvu4dpMrJuT" 4 "2doup" "Tigger_will_give_the_zebra_the_butterfly" "right" "left" "training" "1/20/2022" "16:08" "right" 1 3976.012 1 "Post" "DO" "NonPred" "New-bis"
"9wZUphPqxE4pSTMvu4dpMrJuT" 5 "4doup" "George_will_send_the_donkey_the_fox" "right" "left" "training" "1/20/2022" "16:08" "right" 1 3725.012 1 "Post" "DO" "NonPred" "New-bis"
"9wZUphPqxE4pSTMvu4dpMrJuT" 6 "7doup" "Bob_the_builder_will_throw_the_penguin_the_dog" "left" "right" "training" "1/20/2022" "16:08" "left" 1 4727.012 1 "Post" "DO" "NonPred" "New-bis"
"9wZUphPqxE4pSTMvu4dpMrJuT" 7 "9doup" "Dora_the_explorer_will_bring_the_hippo_the_cow" "right" "left" "training" "1/20/2022" "16:08" "right" 1 4580.012 1 "Post" "DO" "NonPred" "New-bis"
"9wZUphPqxE4pSTMvu4dpMrJuT" 8 "11doup" "Marshall_will_pass_the_bee_the_goat" "left" "right" "training" "1/20/2022" "16:08" "left" 1 2494.012 1 "Post" "DO" "NonPred" "New-bis"
"9wZUphPqxE4pSTMvu4dpMrJuT" 9 "1doup" "The_boy_will_throw_the_bear_the_dinosaur" "left" "right" "training" "1/20/2022" "16:08" "left" 1 4038.012 1 "Post" "DO" "NonPred" "New-bis"
"9wZUphPqxE4pSTMvu4dpMrJuT" 10 "5doup" "The_girl_will_pass_the_sheep_the_bird" "right" "left" "training" "1/20/2022" "16:08" "right" 1 4593.012 1 "Post" "DO" "NonPred" "New-bis"
"9wZUphPqxE4pSTMvu4dpMrJuT" 11 "3doup" "Rebecca_Rabbit_will_bring_the_chicken_the_frog" "left" "right" "training" "1/20/2022" "16:08" "left" 1 2183.012 1 "Post" "DO" "NonPred" "New-bis"
"9wZUphPqxE4pSTMvu4dpMrJuT" 12 "6doup" "Piglet_will_show_the_fish_the_ant" "right" "left" "training" "1/20/2022" "16:08" "right" 1 3516.012 1 "Post" "DO" "NonPred" "New-bis"
"AoFwm7N8UlHOBXdROEhXuEzNe" 1 "12pop" "Winnie_the_pooh_will_show_the_frisbee_to_the_duck" "left" "right" "training" "3/30/2022" "17:02" "left" 1 5206.592 1 "Pre" "PO" "Pred" "New-bis"
"AoFwm7N8UlHOBXdROEhXuEzNe" 2 "3pop" "Rebecca_Rabbit_will_bring_the_pencil_to_the_chicken" "left" "right" "training" "3/30/2022" "17:02" "left" 1 2258.592 1 "Pre" "PO" "Pred" "New-bis"
"AoFwm7N8UlHOBXdROEhXuEzNe" 3 "11pop" "Marshall_will_pass_the_gloves_to_the_bee" "left" "right" "training" "3/30/2022" "17:02" "left" 1 1331.592 1 "Pre" "PO" "Pred" "New-bis"
"AoFwm7N8UlHOBXdROEhXuEzNe" 4 "1pop" "The_boy_will_throw_the_cheese_to_the_bear" "right" "left" "training" "3/30/2022" "17:02" "right" 1 3455.592 1 "Pre" "PO" "Pred" "New-bis"
"AoFwm7N8UlHOBXdROEhXuEzNe" 5 "4pop" "George_will_send_the_brush_to_the_donkey" "right" "left" "training" "3/30/2022" "17:02" "right" 1 1827.592 1 "Pre" "PO" "Pred" "New-bis"
"AoFwm7N8UlHOBXdROEhXuEzNe" 6 "9pop" "Dora_the_explorer_will_bring_the_spoon_to_the_hippo" "left" "right" "training" "3/30/2022" "17:02" "left" 1 3160.592 1 "Pre" "PO" "Pred" "New-bis"
"AoFwm7N8UlHOBXdROEhXuEzNe" 7 "7pop" "Bob_the_builder_will_throw_the_shoe_to_the_penguin" "left" "right" "training" "3/30/2022" "17:02" "left" 1 6874.592 1 "Pre" "PO" "Pred" "New-bis"
"AoFwm7N8UlHOBXdROEhXuEzNe" 8 "10pop" "Boots_will_send_the_flower_to_the_caterpillar" "right" "left" "training" "3/30/2022" "17:02" "right" 1 1843.592 1 "Pre" "PO" "Pred" "New-bis"
"AoFwm7N8UlHOBXdROEhXuEzNe" 9 "2pop" "Tigger_will_give_the_bottle_to_the_zebra" "right" "left" "training" "3/30/2022" "17:02" "right" 1 2262.592 1 "Pre" "PO" "Pred" "New-bis"
"AoFwm7N8UlHOBXdROEhXuEzNe" 10 "6pop" "Piglet_will_show_the_plate_to_the_fish" "right" "left" "training" "3/30/2022" "17:02" "right" 1 1923.592 1 "Pre" "PO" "Pred" "New-bis"
"AoFwm7N8UlHOBXdROEhXuEzNe" 11 "5pop" "The_girl_will_pass_the_dress_to_the_sheep" "right" "left" "training" "3/30/2022" "17:02" "right" 1 2006.592 1 "Pre" "PO" "Pred" "New-bis"
"AoFwm7N8UlHOBXdROEhXuEzNe" 12 "8pop" "Chase_will_give_the_biscuit_to_the_kitten" "left" "right" "training" "3/30/2022" "17:02" "left" 1 1192.592 1 "Pre" "PO" "Pred" "New-bis"
"BdGSOufSBwUolVRT3rOkCuppF" 1 "9doup" "Dora_the_explorer_will_bring_the_hippo_the_cow" "right" "left" "training" "8/28/2022" "13:10" "right" 1 4693.748 1 "Pre" "DO" "NonPred" "New-bis"
