"","id","Phase","Predictability","TimeBin","SamplesInAOI","SamplesTotal","AOI","Elog","Weights","Prop","LogitAdjusted","ArcSin","Time","ot1","ot2","ot3","ot4","ot5","ot6","ot7"
"11","SE01","Post","Pred",10,6,18,"ThemeAOI",-0.653926467406664,4.27631578947368,0.333333333333333,-0.693147180559945,0.615479708670387,1,0.232047740446129,-0.0741249316661101,-0.314270488500608,-0.249345384951578,0.0577419013640566,0.321857946140012,0.310403357235488
"12","SE01","Post","Pred",11,8,18,"ThemeAOI",-0.211309093667207,4.69736842105263,0.444444444444444,-0.22314355131421,0.729727656226966,1.1,0.298347094859308,0.0741249316661101,-0.211651553480001,-0.357756421887046,-0.272211820716268,-0.0155966405618508,0.26116089829728
"13","SE01","Post","Pred",12,12,19,"ThemeAOI",0.510825623765991,4.6875,0.631578947368421,0.538996500732687,0.91854517195654,1.2,0.364646449272488,0.259437260831385,0.0352752589133335,-0.208691246100777,-0.385633412681379,-0.452302576293672,-0.415922912103075
"14","SE01","Post","Pred",13,9,20,"ThemeAOI",-0.191055236762709,5.20238095238095,0.45,-0.200670695462151,0.735314452816668,1.3,0.430945803685667,0.481812055829716,0.458578365873336,0.3875694570443,0.29489613910929,0.20275632730406,0.125744136217209
"15","SE01","Pre","Pred",0,10,22,"ThemeAOI",-0.174353387144778,5.70652173913043,0.454545454545455,-0.182321556793955,0.739880774378741,0,-0.430945803685667,0.481812055829716,-0.458578365873336,0.3875694570443,-0.29489613910929,0.202756327304059,-0.125744136217209
"16","SE01","Pre","Pred",1,4,17,"ThemeAOI",-1.09861228866811,3.375,0.235294117647059,-1.17865499634165,0.5064446434135,0.1,-0.364646449272488,0.259437260831386,-0.0352752589133336,-0.208691246100777,0.385633412681379,-0.45230257629367,0.415922912103075
"17","SE01","Pre","Pred",2,5,15,"ThemeAOI",-0.646627164925052,3.609375,0.333333333333333,-0.693147180559945,0.615479708670387,0.2,-0.298347094859308,0.0741249316661101,0.211651553480001,-0.357756421887045,0.272211820716268,-0.0155966405618529,-0.261160898297281
"18","SE01","Pre","Pred",3,9,18,"ThemeAOI",0,4.75,0.5,0,0.785398163397448,0.3,-0.232047740446129,-0.0741249316661101,0.314270488500608,-0.249345384951578,-0.0577419013640573,0.321857946140012,-0.310403357235485
"19","SE01","Pre","Pred",4,9,18,"ThemeAOI",0,4.75,0.5,0,0.785398163397448,0.4,-0.165748386032949,-0.185312329165275,0.304649963342426,-0.0352335870040276,-0.286647296057282,0.262307136722036,0.0835363142701706
"20","SE01","Pre","Pred",5,8,20,"ThemeAOI",-0.385662480811985,5.05952380952381,0.4,-0.405465108108164,0.684719203002283,0.5,-0.0994490316197694,-0.259437260831385,0.214858395199395,0.170747383173363,-0.299020560635294,-0.0354469103678429,0.329748608961211
"21","SE01","Pre","Pred",6,8,19,"ThemeAOI",-0.302280871872934,4.8875,0.421052631578947,-0.318453731118535,0.706119023078598,0.6,-0.0331496772065898,-0.29649972666444,0.0769642012654549,0.292709799725765,-0.123732645780122,-0.283575282942741,0.175865924779315
"22","SE01","Pre","Pred",7,17,23,"ThemeAOI",0.990398704027877,4.73958333333333,0.739130434782609,1.04145387482816,1.03473483692839,0.7,0.0331496772065898,-0.29649972666444,-0.0769642012654549,0.292709799725765,0.123732645780122,-0.283575282942741,-0.175865924779311
"23","SE01","Pre","Pred",8,14,21,"ThemeAOI",0.659245628884264,4.94318181818182,0.666666666666667,0.693147180559945,0.955316618124509,0.8,0.0994490316197694,-0.259437260831385,-0.214858395199395,0.170747383173363,0.299020560635294,-0.0354469103678425,-0.329748608961212
"24","SE01","Pre","Pred",9,12,22,"ThemeAOI",0.174353387144778,5.70652173913043,0.545454545454545,0.182321556793954,0.830915552416156,0.9,0.165748386032949,-0.185312329165275,-0.304649963342426,-0.0352335870040272,0.286647296057282,0.262307136722035,-0.0835363142701757
"25","SE01","Pre","Pred",10,9,24,"ThemeAOI",-0.489548225318706,5.89,0.375,-0.510825623765991,0.659058035826409,1,0.232047740446129,-0.0741249316661101,-0.314270488500608,-0.249345384951578,0.0577419013640566,0.321857946140012,0.310403357235488
"26","SE01","Pre","Pred",11,6,24,"ThemeAOI",-1.04596855518269,4.81,0.25,-1.09861228866811,0.523598775598299,1.1,0.298347094859308,0.0741249316661101,-0.211651553480001,-0.357756421887046,-0.272211820716268,-0.0155966405618508,0.26116089829728
"27","SE01","Pre","Pred",12,6,24,"ThemeAOI",-1.04596855518269,4.81,0.25,-1.09861228866811,0.523598775598299,1.2,0.364646449272488,0.259437260831385,0.0352752589133335,-0.208691246100777,-0.385633412681379,-0.452302576293672,-0.415922912103075
"28","SE01","Pre","Pred",13,3,21,"ThemeAOI",-1.66500776358891,2.94318181818182,0.142857142857143,-1.79175946922805,0.387596686655181,1.3,0.430945803685667,0.481812055829716,0.458578365873336,0.3875694570443,0.29489613910929,0.20275632730406,0.125744136217209
"29","SE01","Train","Pred",0,27,54,"ThemeAOI",0,13.75,0.5,0,0.785398163397448,0,-0.430945803685667,0.481812055829716,-0.458578365873336,0.3875694570443,-0.29489613910929,0.202756327304059,-0.125744136217209
"30","SE01","Train","Pred",1,18,51,"ThemeAOI",-0.593774706746742,11.9182692307692,0.352941176470588,-0.606135803570315,0.63613206280501,0.1,-0.364646449272488,0.259437260831386,-0.0352752589133336,-0.208691246100777,0.385633412681379,-0.45230257629367,0.415922912103075
"31","SE01","Train","Pred",2,16,44,"ThemeAOI",-0.54654370636807,10.45,0.363636363636364,-0.559615787935423,0.647284848015653,0.2,-0.298347094859308,0.0741249316661101,0.211651553480001,-0.357756421887045,0.272211820716268,-0.0155966405618529,-0.261160898297281
"32","SE01","Train","Pred",3,13,50,"ThemeAOI",-1.02165124753198,9.92647058823529,0.26,-1.04596855518269,0.535070807195154,0.3,-0.232047740446129,-0.0741249316661101,0.314270488500608,-0.249345384951578,-0.0577419013640573,0.321857946140012,-0.310403357235485
"33","SE01","Train","Pred",4,12,53,"ThemeAOI",-1.1999647829284,9.60648148148148,0.226415094339623,-1.22866541691631,0.495908550863117,0.4,-0.165748386032949,-0.185312329165275,0.304649963342426,-0.0352335870040276,-0.286647296057282,0.262307136722036,0.0835363142701706
"34","SE01","Train","Pred",5,12,42,"ThemeAOI",-0.89199803930511,8.86627906976744,0.285714285714286,-0.916290731874155,0.563942641360629,0.5,-0.0994490316197694,-0.259437260831385,0.214858395199395,0.170747383173363,-0.299020560635294,-0.0354469103678429,0.329748608961211
"35","SE01","Train","Pred",6,14,44,"ThemeAOI",-0.743578034186837,9.82777777777778,0.318181818181818,-0.762140052046897,0.599313896417285,0.6,-0.0331496772065898,-0.29649972666444,0.0769642012654549,0.292709799725765,-0.123732645780122,-0.283575282942741,0.175865924779315
"36","SE01","Train","Pred",7,17,53,"ThemeAOI",-0.735111379658978,11.8287037037037,0.320754716981132,-0.750305594399894,0.602072920261333,0.7,0.0331496772065898,-0.29649972666444,-0.0769642012654549,0.292709799725765,0.123732645780122,-0.283575282942741,-0.175865924779311
"37","SE01","Train","Pred",8,15,45,"ThemeAOI",-0.676886659688165,10.2771739130435,0.333333333333333,-0.693147180559945,0.615479708670387,0.8,0.0994490316197694,-0.259437260831385,-0.214858395199395,0.170747383173363,0.299020560635294,-0.0354469103678425,-0.329748608961212
